사건일련번호,장소일련번호,촬영장소명,작품명,제작연도,영화작품코드,장면설명,등장인물,출처,출처 웹페이지주소(URL),시도,시군구,지번주소,도로명주소,위도,경도,poster_url,tmdb_id,tmdb_type,genre_names,genre_ids,overview,original_title,vote_average,runtime
K17686-A-011,GG-P-1113,용인경찰체력단련장(구 용인경찰대학교),내안의 그놈,2018,K17686,(구)경찰대학,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/17686,경기도,용인시,경기도 용인시 기흥구 언남동 88,경기도 용인시 기흥구 언남로 74,37.2985542,127.1325999,https://image.tmdb.org/t/p/w185/ofhf0Tn7hnBtboiUEuVj5IZyD3g.jpg,560527,movie,"판타지,코미디,액션","14,35,28","옥상에서 떨어진 고등학생 동현이 길을 가던 엘리트 아재 판수를 덮치면서 제대로 바뀐다!? 게다가 판수는 동현의 몸으로 첫사랑 미선과 존재도 몰랐던 딸 현정을 만나게 되는데… 대유잼의 향연, 넌 이미 웃고 있다!",내안의 그놈,7.8,122
K17686-A-012,GG-P-0180,경기도 의왕시 왕곡동 공터 1,내안의 그놈,2018,K17686,"(구)김밥전문점사보르왕곡점에서 촬영,폐업",,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/17686,경기도,의왕시,경기도 의왕시 왕곡동 595,,37.3461195,126.9766392,https://image.tmdb.org/t/p/w185/ofhf0Tn7hnBtboiUEuVj5IZyD3g.jpg,560527,movie,"판타지,코미디,액션","14,35,28","옥상에서 떨어진 고등학생 동현이 길을 가던 엘리트 아재 판수를 덮치면서 제대로 바뀐다!? 게다가 판수는 동현의 몸으로 첫사랑 미선과 존재도 몰랐던 딸 현정을 만나게 되는데… 대유잼의 향연, 넌 이미 웃고 있다!",내안의 그놈,7.8,122
K17593-A-063,IC-P-0307,인천광역시 남구 용현3동 공터 1,마약왕,2017,K17593,"(구)복생여인숙,폐업추정",,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/17593,인천광역시,남구,인천광역시 남구 용현3동 459-41,,37.4568521,126.6509342,https://image.tmdb.org/t/p/w185/BYD6DT0dwtLFXkuCk7SqfAZrqv.jpg,492258,movie,"드라마,TV영화,범죄","18,10770,80",,Cocaine Godmother,6.4,100
K17510-A-019,SU-P-1820,서울특별시 중구 명동1가 공터 1,성난 황소,2018,K17510,(구)비프루브 명동점 에서 촬영. 현재는 폐업,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/17510,서울특별시,중구,서울특별시 중구 명동1가 77-4,서울특별시 중구 명동길 5,37.5637932,126.9825884,https://image.tmdb.org/t/p/w185/xiVHlQ4aUyeQQFngyGEounzcYlX.jpg,554972,movie,"범죄,액션,스릴러,코미디","80,28,53,35","거칠었던 과거를 벗어나 수산시장에서 건어물 유통을 하며 건실하게 살던 동철. 어느 날 아내 지수가 납치되고, 경찰에 신고를 하지만 그녀의 행방은 묘연하기만 하다. 그리고 동철에게 걸려 온 납치범의 전화. 오히려 지수를 납치한 대가로 거액의 돈을 동철에게 주겠다는 파격 제안을 하고, 이에 폭발한 동철은 지수를 구하기 위해 움직이기 시작하는데…",성난황소,7.4,116
K17431-A-018,SU-P-1601,서울특별시 강남구 논현동 공터 2,상류사회,2018,K17431,(구)빌라드베일리,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/17431,서울특별시,강남구,서울특별시 강남구 논현동 6-2,,37.517973,127.0250434,https://image.tmdb.org/t/p/w185/6feljyK0fBrDDN6R2g61sSBJy2o.jpg,543753,movie,드라마,18,학생들에게 인기와 존경을 동시에 받는 경제학 교수 태준은 우연한 기회를 통해 촉망받는 정치 신인으로 국회의원 선거에 출마하게 된다. 한편 그의 아내이자 미래미술관의 부관장 수연은 재개관전을 통해 관장 자리에 오르려 한다. 그러나 수연의 미술품 거래와 태준의 선거 출마 뒤에 미래그룹과 민국당의 어두운 거래가 있었다는 것이 밝혀지고 두 사람은 완벽한 상류사회 입성을 눈앞에 두고 위기에 처한다. 이 기회를 절대 놓칠 수 없는 태준과 수연 부부는 민국당과 미래그룹에게 새로운 거래를 제안하게 되는데...,상류사회,5.5,120
K19599-A-026,GJ-P-0015,광주광역시 동구 불로동 공터 1,악질경찰,2018,K19599,(구)서남대병원,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/19599/own/image#dataHashFullCreditDetail1,광주광역시,동구,광주광역시 동구 불로동 174,광주광역시 동구 천변우로 415,35.144692,126.9146633,https://image.tmdb.org/t/p/w185/mZLtd1fR4hpcyGVwOLM1ka1t8HX.jpg,574303,movie,"액션,범죄,드라마,스릴러","28,80,18,53","뒷돈은 챙기고, 비리는 눈감고, 범죄는 사주하는 악질경찰 조필호, 급하게 목돈이 필요했던 그는 경찰 압수창고를 털 계획을 세운다. 그러나 사건 당일 밤, 조필호의 사주를 받아 창고에 들어간 한기철이 의문의 폭발사고로 죽게 되고, 필호는 유일한 용의자로 지목된다. 설상가상 거대기업의 불법 비자금 자료까지 타버려 검찰의 수사선상에도 오른다. 위기에서 벗어나기 위해 사건을 쫓던 중, 폭발사건의 증거를 가진 고등학생 미나와 엮이게 되고 빙산의 일각에 불과한 거대한 음모와 마주치게 되는데...",악질경찰,6.1,127
K16177-A-004,DJ-P-0105,대한민국상이군경회 충청사업소(구 충남구청 경찰청),살인자의 기억법,2016,K16177,(구)충남구청 경찰청 주차장,,KMDb,,대전광역시,중구,대전광역시 중구 선화동 287-1,대전광역시 중구 보문로 287,36.3272776,127.4203206,https://image.tmdb.org/t/p/w185/kbCZDINnj4rHhoZZUeXTsviYUkl.jpg,307479,movie,"스릴러,액션","53,28",기억상실을 소재로 한 범죄 스릴러 영화.,88,5.1,88
K10896-A-002,GG-P-0370,김포택견전수관,웨딩드레스,2009,K10896,"(사)대한택견협회김포전수관, 폐업추정",,KMDb,,경기도,김포시,경기도 김포시 사우동 945,경기도 김포시 돌문로 50,37.6195633,126.7177525,https://image.tmdb.org/t/p/w185/5FJmuYRhdFWAQtoEjIgVQcZiPqI.jpg,205218,movie,드라마,18,"미안해, 우리 아가.. 엄마가 먼저 가서, 너무 미안해.  세상에서 젤 예쁜 내 보물 소라, 엄마는 소라에게 해주고 싶은 게 너무 많아. 우리 소라 좋아하는 게임기, 장난감도 많이 많이 사주고 싶어. 비 오는 날, 우산 잊고 가도 젖지 않게 엄마가 데리러 갈게 친구랑 싸우면 엄마가 멋있는 생일파티 열어줄 테니, 화해해. 멋지게 발레 하는 우리 소라 공연도 찾아가고, 소풍 가는 날 세상에서 제일 맛있는 김밥도 싸줄게.  해주고 싶은 건 너무 많은데, 시간이 너무 없다. 그래도 엄마가 제일 잘하고, 꼭 주고 싶었던 한 가지는 해주고 싶어. 소라를 위해 엄마가 만든 세상에 단 하나뿐인 웨딩드레스. 이 드레스 입은 우리 딸 꼭 보고 싶었는데… 세상에서 가장 아름다운 신부가 될 우리 소라랑 함께하지 못해서 엄마가 너무 미안해. 사랑한다. 소라야.",웨딩드레스,7.4,109
K05234-A-006,GG-P-1208,인덕원마을삼성아파트,죽거나 혹은 나쁘거나,2000,K05234,(주)삼성주택 인덕원 공사장에서 촬영되었음,,KMDb,,경기도,안양시,경기도 안양시 동안구 관양동 1510-1,경기도 안양시 동안구 안양판교로 42,37.3985646,126.9790889,https://image.tmdb.org/t/p/w185/2S08jsy4FkEWiUMmYTfFinNM22P.jpg,118170,movie,"범죄,액션","80,28","성빈은 친구 석환의 패싸움을 말리다가 실수로 살인을 저지른다. 감옥에서 출소한 성빈은 석환에게 연락하지만, 형사가 된 석환은 성빈을 피한다. 어느 날 성빈은 우연히 조직폭력배를 구해주고, 그를 따라 주먹의 세계에 들어간다. 상환은 형 석환 몰래 조직폭력배가 되고자 성빈의 수하가 되고, 이들의 인연은 점점 꼬여만 간다.",죽거나 혹은 나쁘거나,6.1,95
K19406-A-001,GG-P-1552,함창타워,증인,2018,K19406,(주)함창,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/19406,경기도,안산시,경기도 안산시 단원구 고잔동 523,경기도 안산시 단원구 화랑로 376,37.3209919,126.8292695,https://image.tmdb.org/t/p/w185/srMpK4BuGCoS9tDv000VULY6pNw.jpg,407439,movie,드라마,18,"황량한 어촌에서 구원만을 꿈꾸며 살아가는 ‘막달라 마리아’(루니 마라)는  정혼을 거부했다는 이유만으로 가족들에게조차 외면 당한다.  그러던 어느 날 마을을 방문한 ‘예수’(호아킨 피닉스)와 그의 제자들로부터 깨달음을 얻게 된 마리아는  예수에게 직접 세례를 받은 뒤 유일한 여성 사도로서 그들의 여정에 동참하게 된다.  한편, 예수는 죽은 자를 살려내는 기적을 행하고도 다가올 자신의 운명 앞에서 괴로워하는데…  예수의 제자 중 그 누구보다 가까이에서 그와 소통한 ‘막달라 마리아’가 목격한 진정한 구원은 과연 무엇일까?",Mary Magdalene,6.3,120
K18029-A-018,JB-P-0105,대성고등학교,말모이,2018,K18029,폐교,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/18029,전라북도,고창군,전라북도 고창군 대산면 매산리 1157-1,전라북도 고창군 대산면 고산성로 17,35.3384831,126.6026836,https://image.tmdb.org/t/p/w185/bGFA0TYEjzsK2YL8IcodOIeCrhO.jpg,564863,movie,"드라마,코미디,역사","18,35,36","1940년대 우리말이 점점 사라져가고 있는 경성. 극장에서 해고된 후 아들 학비 때문에 가방을 훔치다 실패한 판수. 하필 면접 보러 간 조선어학회 대표가 가방 주인 정환이다. 사전 만드는데 전과자에다 까막눈이라니! 그러나 판수를 반기는 회원들에 밀려 정환은 읽고 쓰기를 떼는 조건으로 그를 받아들인다. 돈도 아닌 말을 대체 왜 모으나 싶었던 판수는 난생처음 글을 읽으며 우리말의 소중함에 눈뜨고, 정환 또한 전국의 말을 모으는 ‘말모이’에 힘을 보태는 판수를 통해 ‘우리’의 소중함에 눈뜬다. 얼마 남지 않은 시간, 바짝 조여오는 일제의 감시를 피해 ‘말모이’를 끝내야 하는데…",말모이,7.8,135
