제목,줄거리,줄거리_번역여부,최초방영일,작품유형,포스터,장르,networks,에피소드수,평점,인기도,주연배우,match_similarity
#좋맛탱: 좋은 맛에 취하다,"스무살 그 이름만으로도 찬란한 나이. 처음으로 어른이 된 것 같아 교복 입을 아이들을 보고 으스대더라도, 진짜 잘난 것 같은 어른들을 보면 나도 모르게 주눅이 들고 마는. 그래도 떠올려보면, 늘 설레고 풋풋한 마음이 가득한 시절. 그리고 여기, 그 ‘스무살’을 닮은 동네가 있다. 바로 연남동이다. 홍대보다는 조금 더 감성적이고, 연희동보다는 조금 더 감각적인 곳! 이 ‘연남동’에서 스무살 두 남녀가 만난다. 연남동에서 스무살을 맞이한 충남과 연남의 풋풋한 이야기. 달콤한 디저트처럼, 달다구리한 로맨스로 거듭날 수 있을까?",TRUE,2018-12-24,Scripted,https://image.tmdb.org/t/p/w500/7mXqtzH9wraa4tSuNzXiVahWFZL.jpg,드라마,tvN,10,2.6,3.9498,노을|지화섭|김민규|김향기|이유영,1
(아는 건 별로 없지만) 가족입니다,"평생 일에 치여 가족과 거리감을 느끼는 아버지 상식은 등산을 떠나고 묵묵히 살림을 하며 지내온 어머니 진숙은 큰딸 은주와 둘째 은희, 막내 지우에게 폭탄선언을 한다. 자식들은 엄마의 결정에 혼란스럽고 은주는 상식에게 전화를 하지만 연락이 되지 않는다. 출판사일로 명상원을 찾은 은희는 5년전 절교한 찬혁을 만나게 되는데...",TRUE,2020-06-01,Scripted,https://image.tmdb.org/t/p/w500/zP0tEXW21KAlsDdTsKjXiHy1T4Y.jpg,드라마,tvN,16,7.3,3.6383,신재하|한예리|김지석|추자현|정진영,1
1%의 어떤것,안하무인 재벌 호텔리어와 초등학교 선생님의 유산 상속을 둘러싼 좌충우돌 바른 생활 로맨스,TRUE,2016-10-05,Miniseries,https://image.tmdb.org/t/p/w500/nexRfQ5Blp0TJ3CjQWEAMK0ko4P.jpg,코미디|드라마,Dramax,16,7.2,3.7992,하석진|전소민|임도윤|이해인|김선혁,1
18 어게인,"2001년 고등학생 대영은 국가대표 농구선수를 목표로 하고 있는 유망주, 농구밖에 모르는 그가 어린 다정에게 첫눈에 사랑에 빠진다. 두 사람은 연인으로 발전하고 뜻하지 않은 임신으로 쌍둥이의 부모가 됐다. 18년 후 꿈을 포기하고 열심히 살아온 대영에게 다정은 이혼을 요구한다. 대영은 자포자기하는 마음으로 체육관에서 공을 던지는데 갑자기 정전이 됐다, 그때부터 사람들이 대영을 학생이라고 부르기 시작하는데…",TRUE,2020-09-21,Miniseries,https://image.tmdb.org/t/p/w500/djWxHGEz6RCGf68mmJxf4igj4n6.jpg,드라마|코미디|Sci-Fi & Fantasy,JTBC,16,8.345,6.7115,이도현|김하늘|윤상현|노정의|려운,1
20세기 소년소녀,"진진(한예슬), 아름(류현경), 영심(이상희)은 ‘봉고파’ 친구들이다. 톱스타 진진은 예능 촬영을 위해 홍콩으로 떠나고, 투자전문가 지원(김지석)은 고향인 한국으로 돌아갈 채비를 한다. 한편 돌아오는 공항에서 진진은 본인의 충격적인 스캔들을 듣게 되는데…",TRUE,2017-10-09,Scripted,https://image.tmdb.org/t/p/w500/uJkpZsWZ0zHddColxLQh3ONXnTZ.jpg,코미디,MBC,32,6.182,5.2209,김지석|한예슬|이상우|류현경|이상희,1
24시 헬스클럽,'헬치광'이 된 관장 도현중이 근심이 과다한 헬린이 회원들의 인생을 교정하며 펼쳐지는 두근두근 근(筋) 성장극,TRUE,2025-04-30,Miniseries,https://image.tmdb.org/t/p/w500/d6SubGZP1j0m5gNurPEizxzuzFR.jpg,드라마|코미디,KBS2,12,7.563,4.5603,이준영|정은지|이미도|이다은|박성연,1
365: 운명을 거스르는 1년,"과거로 돌아가 인생을 반복해서 살 수 있는 '리셋'의 기회를 얻은 사람들. 꿈만 같은 시간을 보내던 그들에게 예측불허의 일들이 펼쳐진다. 과거를 바꾸기 시작하면서 그들 앞에는 예측불허한 일들이 펼쳐진다. '리셋'의 대가를 치르라는 듯, 차례로 찾아오는 죽음의 그림자. 살아남은 사람들은 생존을 위해 사건을 추적하기 시작하는데...",TRUE,2020-03-23,Miniseries,https://image.tmdb.org/t/p/w500/hivTCkAfb2tc5RhlnJl3j37KsRI.jpg,미스터리|드라마,MBC,24,7.5,4.7577,이준혁|남지현|김지수|양동근|이시아,1
38사기동대,"세금 징수 공무원과 사기꾼이 합심하여, 편법으로 부를 축적하고 상습적으로 탈세를 저지르는 악덕 체납자들에게 세금을 징수하는 통쾌한 스토리를 다룬 드라마",TRUE,2016-06-17,Scripted,https://image.tmdb.org/t/p/w500/cyNV8rpUnM05HXnQDb2uUwe2MGD.jpg,범죄|코미디,OCN,16,7.8,3.6074,마동석|서인국|최수영|송옥숙|고규필,1
49일,"사고로 모든 것이 무너지고 혼수상태에 빠진 그녀에게, 하늘에서 내려온 사신이 두 번째 기회를 건넨다. 하지만, 거기에는 조건이 있는데.",TRUE,2011-03-16,Scripted,https://image.tmdb.org/t/p/w500/2x1caDew3bVVzvzsB5rcripUMuz.jpg,드라마|Sci-Fi & Fantasy,SBS,20,8.094,4.4557,배수빈|이요원|남규리|조현재|정일우,1
"60일, 지정생존자","대통령의 국정 연설이 열리던 국회의사당이 갑작스러운 폭탄 테러 공격을 받아 붕괴되고, 대통령도, 국무총리도, 국회의장도, 국무위원들도 한날 한시에 사라져 버렸다. 국무위원 중 유일하게 생존한 환경부 장관이 승계서열에 따라 60일간의 대통령 권한대행으로 지정된다. 한반도를 둘러싼 군사적 긴장은 한발 한발 레드라인에 다가서고 권력의 공백을 허락할 수 없는 국내 정치판은 요동치기 시작하는데...",TRUE,2019-07-01,Scripted,https://image.tmdb.org/t/p/w500/fpRC1zhGOx3nvtkWb9Nrl6EZpwB.jpg,드라마|범죄|미스터리|War & Politics,tvN,16,7.804,4.2339,지진희|허준호|이준혁|강한나|배종옥,1
