title,overview,release_date,runtime,genres,poster,vote_average,popularity,category
1987,"1987년 1월, 경찰 조사를 받던 스물두 살 대학생이 사망한다. 박처장의 주도 하에 경찰은 시신 화장을 요청하지만, 사망 당일 당직이었던 최검사는 이를 거부하고 부검을 밀어붙인다. 단순 쇼크사인 것처럼 거짓 발표를 이어가는 경찰. 그러나 현장에 남은 흔적들과 부검 소견은 고문에 의한 사망을 가리키고, 사건을 취재하던 윤기자는 물고문 도중 질식사를 보도한다. 한편, 교도소에 수감된 조반장을 통해 사건의 진상을 알게 된 교도관 한병용은 이 사실을 수배 중인 재야인사에게 전달하기 위해 조카인 연희에게 위험한 부탁을 하게 되는데...",2017-12-27,129,"드라마, 역사, 스릴러",https://image.tmdb.org/t/p/w500/mO55nkEFrI2EVdjxx0asaOGtHfa.jpg,8.024,2.0816,MOVIE
2424,"일자무식 단순극치, 잔머리만 살아 도는 마약밀매단 넘버 2 박태호(전광렬 분)가 300억 짜리 ‘물건’을 고추장 단지 속에 꼭꼭 숨겨 해외로 이사를 간다. 조직 소탕에 혈안이 된 검찰은 이삿짐센터 직원으로 위장 잠입, ‘결정적 증거’를 잡는다는 계획을 세우는데... 작전명 2424!  문제는 사고뭉치 초짜 검사 최두칠(정웅인 분)! 기를 쓰고 작전에 지원하더니 적지에 들어서기 무섭게 이삿짐을 하나 둘씩 작살내고 만다. 물증은 고사하고, 박태호의 담배 심부름에 온 동네 뛰어다니기 바쁜 최두칠, 설상가상 진짜 이삿짐 센터 사장 한익수(김래원 분)와 싸움까지 붙어 눈썹을 몽땅 날리는 아픔까지 겪는데...  좌충우돌 고군분투 끝에 간신히 이삿짐 트럭을 통째로 빼돌리는 데 성공한 검찰팀, 하지만 문제의 단지 속에서 나온 것은 100% 조선된장 뿐! 아무도 모르게 사라진 300억 짜리 ‘물건’. 박태호 역시 무소식 깜깜 ‘물건’의 행방을 찾기 위해 아파트를 뒤엎기 시작하는데...",2002-10-18,105,코미디,https://image.tmdb.org/t/p/w500/gdFOTZoLewaDCwjv7ruq1FCLtw8.jpg,6.4,0.826,MOVIE
1급기밀,"국방부 군수본부 항공부품구매과 과장으로 부임한 박대익 중령(김상경)에게 어느 날, 공군 전투기 파일럿 강영우 대위가 찾아와 전투기 부품 공급 업체 선정에 대한 의혹을 제기한다. 이에 대익이 부품구매 서류를 확인하던 중 유독 미국의 에어스타 부품만이 공급되고 있음을 발견한다. 한편 강영우 대위가 전투기 추락 사고를 당하고, 이를 조종사 과실로 만들어 사건을 은폐하는 과정을 지켜본 대익은 큰 충격을 받는다. 그리고 은밀한 뒷조사 끝에 차세대 전투기 도입에 관한 에어스타와 연계된 미 펜타곤과 국방부 간에 진행되고 있는 모종의 계약을 알게 된다. 딸에게만큼은 세상에서 가장 바보 같지만 세상에서 제일 용감한 군인으로 남고 싶은 대익은 [PD25시]의 기자 김정숙(김옥빈)과 손잡고 국익이라는 미명으로 군복 뒤에 숨은 도둑들의 만행을 폭로하기로 결심하는 데…  그들이 시작한 전쟁, 절대로 항복하지 않을 것이다!",2017-07-20,100,스릴러,https://image.tmdb.org/t/p/w500/fcSLBRetEnBvWkJRRo5eBoGVajw.jpg,6.6,1.1322,MOVIE
1번가의 기적,"재개발의 막중한 임무를 띠고 에쿠스를 끌며 폼 나게 1번가에 나타난 날건달, 필제. ‘천하의 나쁜 노무새끼’가 되어 피도 눈물도 없이 무대뽀로 마을 사람들을 밀어내려 단단히 맘을 먹었건만 도착한 첫날부터 맞닥뜨린 깡따구 센 여자 복서 명란을 비롯하여 예측불허의 마을 사람들로 인해 필제의 계획은 꼬이기 시작한다.",2007-02-15,113,"코미디, 로맨스",https://image.tmdb.org/t/p/w500/2ZpmCHj7FAzvjByp5ea0CHayzNh.jpg,6.5,1.1219,MOVIE
26년,"광주 수호파 중간보스 곽진배, 국가대표 사격선수 심미진, 서대문소속 경찰 권정혁, 5. 18 민주화운동 희생자 2세라는 공통 분모를 가진 세 사람이 한 자리에 모였다. 그들을 불러 모은 보안업체 대기업 회장 김갑세와 그의 비서 김주안의 제안은 바로 ‘그 사람’을 타겟으로 한 극비 프로젝트. 진배는 무력도발로 연희동을 자극시킨다. 그러나 김갑세가 광주 시민들을 제압하던 계엄군이었고 그의 총검에 아버지가 죽었다는 사실을 알게 되면서 팀은 균열이 생긴다. 미진은 홀로 서대문 사거리에서 ‘그 사람’의 차량에 뛰어들어 사격을 가한다. 마지막 한발, 성공의 순간 터져버린 총 때문에 부상당한 미진은 뒤늦게 달려온 진배의 도움으로 탈출하지만, 정혁은 충격을 받고 사라진다. 마침내 그날, 저격 위치를 확보한 미진과 경찰 병력을 저지할 진배 일행, 그리고 김갑세와 주안은 탁실장을 이용하여 검문을 통과하고 드디어 연희동 저택 안으로 들어간다. 한편, 서대문경찰서 최계장의 집요한 추적으로 암살 작전의 실체가 밝혀지고 경호실장인 마상렬의 명령으로 연희동 안팎은 빠르게 진압된다. 미진에게까지 포위망은 좁혀지고 사라졌던 정혁이 나타나 작전을 저지하는데...",2012-11-29,135,"드라마, 스릴러",https://image.tmdb.org/t/p/w500/ljo7aXcGIdYZm90MppokHKreYTT.jpg,6.8,2.1071,MOVIE
48미터,북한과 중국의 거리가 48미터 밖에 안 되는 압록강지점  삶과 죽음의 경계에서 목숨을 걸고 이를 넘는 이들이 있다.  어릴 적 경계선에서 부모님의 죽음을 목격한 자매.  눈 앞에서 사람을 죽여야만 하는 죄책감에 시달리는 군인.  사랑하는 사람과 지독한 이곳을 벗어나야만 하는 커플.  굶어 죽어가는 자식을 살려야 하는 부모.  아픈 아버지를 구하기 위해서 떠나야만 하는 딸.  목숨을 걸고 꼭 48미터를 넘어야만 했던 사람들의 숨막히는 실제 이야기  슬프고도 위대한 감동드라마가 시작됩니다.,2013-07-04,97,드라마,https://image.tmdb.org/t/p/w500/ud3VGlpbzscbCxmAJW1UvB6MhZ9.jpg,6,1.3802,MOVIE
4교시 추리영역,"전국 1등을 놓치지 않는 명석한 두뇌와 준수한 외모를 두루 갖춘 이른바 엄친아, 정훈!  어느 4교시 체육시간, 빈 교실을 지키던 중 평소 앙숙처럼 지내던 태규가 무참히 죽어있는 것을 발견한다!  사건의 정황, 그 전의 목격자, 동기 등 모든 것을 살펴봤을 때 살인사건의 유일한 용의자는  정훈 바로 그 자신일 수밖에 없는 절체절명의 위기에 직면하는데!!",2009-08-12,86,"범죄, 미스터리, 스릴러, 액션",https://image.tmdb.org/t/p/w500/cTQ1YPh7cBgKDLmyMMNOnXuhu37.jpg,5.783,1.2418,MOVIE
4등,"천재적인 재능을 가졌지만 대회만 나갔다 하면 4등을 벗어나지 못하는 수영 선수 준호. 하지만 1등에 대한 집착을 버리지 못하는 엄마의 닦달에 새로운 수영 코치 광수를 만난다. 심드렁한 표정으로 대회 1등은 물론, 대학까지 골라 가게 해주겠다고 호언장담한 광수는 엄마에게 연습 기간 동안 수영장 출입금지 명령까지 내리는데...",2016-04-13,116,드라마,https://image.tmdb.org/t/p/w500/fmCsqdEjqRGcQm6msGWk8lHFv59.jpg,7,1.09,MOVIE
4발가락,"아우디, 해태, 르까프, 각그랜져. 우리의 은 광주 고등학교 시절부터 죽이 잘 맞는 한 주먹하는 친구들로써, 의리에 살고 의리에 죽는 의형제로 통한다. 고등학교 때부터 공부를 잘 했던 르까프는 졸업과 함께 서울로 올라가게 되고, 나머지 친구 3명도 각기 다른 보스 밑에서 힘든 밑바닥 갱스터 생활을 이겨 나가며 서서히 그 영향력을 키워나가 자신들의 서울 입성 기회를 잡게 된다. 광주에서 자라난 이들에게 서울땅은 결코 만만한 곳은 아니었지만, 어린시절부터 똘똘 뭉친 친구들은 서로에게 힘이 되주며, 어느 한 구역을 책임지고 관할 할 정도의 중간급 보스로 성장해 나간다. 서울에서의 안정적인 갱스터 생활과 함께, 미래에 대한 고민도 함께 커져만 갔던 평온하고 조용했던 폭풍전야 어느 날 4발가락> 친구들은 서울 바닥 중간급 보스급이 모두 참석하는 홍두깨 주체의 모임에서 강남 요지 호텔 건립에 따른 반대세력 제거 작업을 위한 심각한 모의를 하게 되고, 서울 지역 중간급 보스급인 과 그들의 라이벌인 패거리는 ""금도끼"",""은도끼""와 얽힌 전설에 얽매이게 되면서 서로간 심각한 상황으로 대립하게 된다",2002-05-10,91,코미디,https://image.tmdb.org/t/p/w500/bBWYFmjWEcxic9PLXsyQ6YYBsHc.jpg,4.571,0.9821,MOVIE
6년째 연애중,"탁월한 경제성과 사생활 보호, 거기에 공공의 즐거움까지 일석 삼조의 노하우를 지닌 영리한 커플이 있다. 발소리만 들어도, 눈빛만 봐도 척하면 착! 서로 좋아하는 체위까지 몸에 밴 두 사람 ‘재영’과 ‘다진’은 벽하나를 사이에 두고 쿨한 6년차 연애질을 시작한다. 베란다에서 펼쳐지는 아름다운 야경을 즐기고, 모텔보다 아늑한 침대도 두 개, 거기다 생리대 심부름까지 바로 바로 OK! 장기 연애 노하우를 바탕으로 만든 연애 지침서를 히트시킨 베스트 셀러 기획자 다진은 서른 전 팀장 입성을 코 앞에 두고 일과 사랑 두 마리 토끼를 다 잡으려 한다. 지지리 궁상 떠는 친구들의 애정 상담 전문가로도 손색 없는 홈쇼핑 PD 재영도 남 부러울 게 없다. 승승가도를 달리기만 하는 그들의 빛나는 인생!! 그러나… 내년에도 후년에도 환상 커플의 궁합은 계속 뜨겁기만 할까? .",2008-02-05,112,"로맨스, 드라마",https://image.tmdb.org/t/p/w500/y1GIZo9vPY06JgwzHDQABBI1ukj.jpg,6.2,1.6025,MOVIE
